"hpl_id";"linje";"lan_kod";"lan";"kommun_kod";"kommun";"tatort_pop";"tatort_kod";"tatort";"y_wgs84";"x_wgs84";"x_sweref99tm";"y_sweref99tm"
779050;"106";"03";"Uppsala";"0380";"Uppsala";160926;"T0656";"Uppsala";59,8719371308389;17,5959894395909;645332,860154023;6639997,61925493
779051;"107";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7864099268289;17,5974973229573;645790,620733004;6630481,05149924
779052;"107";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7874161268567;17,5934903119374;645561,409822317;6630584,2422501
779054;"108";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7908301961883;17,5552504670152;643401,224535255;6630880,89774413
779058;"107";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7913894427097;17,5845112242526;645040,369593302;6631006,81926248
779060;"108";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,7942444961835;17,5584221097627;643564,484011408;6631267,80795094
779063;"108";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8002180260733;17,5493989807664;643032,735064042;6631913,20916754
779064;"107";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8027691052473;17,5954346590323;645603,553414131;6632297,42047323
779075;"102, 186";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8186128547564;17,7396765093398;653619,594945454;6634386,58873888
779077;"102, 186";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8241399020198;17,7325789216918;653196,385519682;6634985,32520651
779080;"186";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,828390158462;17,7138493012501;652127,352516098;6635415,23060668
779081;"186";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8317181781286;17,6991292486206;651287,411815662;6635751,94166087
779084;"102";"03";"Uppsala";"0380";"Uppsala";433;"T0530";"Danmark";59,8328307285594;17,7436042717471;653774,190816154;6635978,17406164
779085;"108, 108, 804, 895";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,8413542521906;17,5337809670109;641981,61726385;6636458,51111121
